Scheme-Id	Agency-Id	Version	Schlüssel	Wert	Sprache	Beschreibung
Branchenschluessel	de.ilb	1	230	46.12.0	de	Acetale, V.
Branchenschluessel	de.ilb	1	231	46.69.2	de	Acetylenentwickler, Gh.
Branchenschluessel	de.ilb	1	232	46.14.1	de	Acetylenentwickler, V.
Branchenschluessel	de.ilb	1	233	47.64.1	de	Achsen für Fahrräder, Eh.
Branchenschluessel	de.ilb	1	234	46.49.2	de	Achsen für Fahrräder, Gh.
Branchenschluessel	de.ilb	1	235	30.92.0	de	Achsen für Fahrräder, H.
Branchenschluessel	de.ilb	1	236	46.18.9	de	Achsen für Fahrräder, V.
Branchenschluessel	de.ilb	1	237	30.91.0	de	Achsen für Krafträder, H.
Branchenschluessel	de.ilb	1	238	45.40.0	de	Achsen für Krafträder, Handel
Branchenschluessel	de.ilb	1	239	45.32.0	de	Achsen für Kraftwagen, Eh.
Branchenschluessel	de.ilb	1	240	45.31.0	de	Achsen für Kraftwagen, Gh.
Branchenschluessel	de.ilb	1	241	29.32.0	de	Achsen für Kraftwagen, H.
Branchenschluessel	de.ilb	1	242	46.69.1	de	Achsen für Schienenfahrzeuge, Gh.
Branchenschluessel	de.ilb	1	243	30.20.1	de	Achsen für Schienenfahrzeuge, H.
Branchenschluessel	de.ilb	1	244	46.14.1	de	Achsen für Schienenfahrzeuge, V.
Branchenschluessel	de.ilb	1	245	29.32.0	de	Achsgetriebe für Kraftwagen, H.
Branchenschluessel	de.ilb	1	246	93.21.0	de	Achterbahnbetrieb
Branchenschluessel	de.ilb	1	247	28.99.0	de	Achterbahnen (Ausrüstungen für das Schaustellergewerbe), H.
Branchenschluessel	de.ilb	1	248	01.11.0	de	Ackerbohnen, Anbau
Branchenschluessel	de.ilb	1	249	46.31.0	de	Ackerbohnen, frisch, Gh.
Branchenschluessel	de.ilb	1	250	46.17.9	de	Ackerbohnen, frisch, V.
Branchenschluessel	de.ilb	1	251	46.61.0	de	Ackerschlepper, Gh.
Branchenschluessel	de.ilb	1	252	28.30.0	de	Ackerschlepper, H.
Branchenschluessel	de.ilb	1	253	46.14.6	de	Ackerschlepper, V.
Branchenschluessel	de.ilb	1	254	77.31.0	de	Ackerschleppervermietung ohne Bedienungspersonal
Branchenschluessel	de.ilb	1	255	22.21.0	de	Acrylglas (Tafeln, Platten, Blöcke, Filme, Folien), H.
Branchenschluessel	de.ilb	1	256	20.16.0	de	Acrylpolymere, H.
Branchenschluessel	de.ilb	1	257	46.75.0	de	Acyclische Kohlenwasserstoffe, Gh.
Branchenschluessel	de.ilb	1	258	20.14.0	de	Acyclische Kohlenwasserstoffe, H.
Branchenschluessel	de.ilb	1	259	46.12.0	de	Acyclische Kohlenwasserstoffe, V.
Branchenschluessel	de.ilb	1	260	46.43.3	de	Adapter (Teile für Rundfunkempfangsgeräte, phono- und videotechnische Geräte), Gh.
Branchenschluessel	de.ilb	1	261	26.40.0	de	Adapter (Teile für Rundfunkempfangsgeräte, phono- und videotechnische Geräte), H.
